MRT	0x00000029
lightFill1Strength	0x0100EAC0
lightFill2Dir	0x0100EAC1
lightFill2Color	0x0100EAC2
lightFill2Strength	0x0100EAC3
exposure	0x0100EAC4
shCoeffs	0x0100EAC5
cameraSpaceLighting	0x0100EAC6
pointLightPos	0x0100EAC7
pointLightColor	0x0100EAC8
pointLightStrength	0x0100EAC9
pointLightRadius	0x0100EACA
envHemiMap	0x0100EACB
atmosphere	0x0100EACD
diffBounce	0x0100EACE
specBounce	0x0100EACF
planetHeightMapRes	0x010AE0EC
planetControlMapRes	0x010AE0F5
kHighestTesselation	0x010B0AAC
kHighestFaceQuadTesselation	0x010B0AC4
kHighestAtmosphereFaceQuadTesselation	0x010B0ACA
kNumLODs	0x010B0ACF
kNumFaceLODs	0x010B0AD6
kQuadDimPerFace	0x010B0ADB
kFaceQuadLODDistance	0x010B0AE1
kLODDistanceNormalizer	0x010B0AE7
kLODTable	0x010B0AEB
kFaceLODTable	0x010B0AF0
kAtmosphereLODTable	0x010B0AF4
kUseLayer1	0x010B0AFA
kUseLayer2	0x010B0B00
kUseAtmosphere	0x010B0B05
kUseLowLODShaders	0x010B0B0C
kNightLighting	0x010EBD75
kAtmLuminenceRange	0x010EBD9E
kBelowTexTiling	0x010EBDAD
kWaterTexTiling	0x010EBDB6
kCliffTexTiling	0x010EBDBE
kUseCamGeometricDistToQuad	0x010EDDBB
cameraNearClip	0x01102B20
cameraFarClip	0x01102B2F
kOverrideGonzagoPlanetConfig	0x0122C6C0
kNumHeightMipMaps	0x0122C6C9
editorPaintModeLight	0x014140DD
shoppingUILayoutID	0x01481824
kPlanetElevationTable	0x01524F2E
MotiveMin	0x015A2E6A
MotiveMax	0x015A2E78
MotiveHigh	0x015A2E80
MotiveLow	0x015A2E81
MotiveCritical	0x015A2E82
MotiveTakeAction	0x015A2E83
TribeHungerDrain	0x015A2EA2
SleepEnergyDelta	0x015A4CB4
SleepCost	0x015A4CC9
SleepCostSpace	0x015A4CCA
SleepCapacity	0x015A4CD6
SleepMinimumStay	0x015A4CDE
SleepMaximumStay	0x015A4CE7
RoomsPerHouse	0x015A4CFA
CultureCost	0x015A4D88
CultureCapacity	0x015A4D8F
CultureMinimumStay	0x015A4D98
CultureMaximumStay	0x015A4D9F
IndustryCost	0x015A4DB7
IndustryCostSpace	0x015A4DB8
IndustryCapacity	0x015A4DBF
IndustryMoneyDeltaCity	0x015A4DC8
IndustryMoneyTime	0x015A4DCE
IndustryMinimumStay	0x015A4DD5
IndustryMaximumStay	0x015A4DDB
FarmCost	0x015A4E27
FarmCapacity	0x015A4E2F
FarmFoodDeltaCity	0x015A4E37
FarmMinimumStay	0x015A4E3D
FarmMaximumStay	0x015A4E45
MarketFoodBundleCapacity	0x015A4E64
MarketCost	0x015A4E6D
MarketCapacity	0x015A4E74
MarketMinimumStay	0x015A4E7C
MarketMaximumStay	0x015A4E82
MilitaryCost	0x015A4E89
cameraExponential	0x015E0F54
cameraWheelZoomScale	0x015E688F
cameraExpPanScale	0x015E6BAA
cameraPanSubjectPos	0x015E84CD
clickDragDistance	0x0170A7AE
hairDensity	0x01745531
hairLength	0x01745539
numSectionsPerHair	0x01749124
hairWidth	0x0175A15C
creatureAvatarMinMouseRadius	0x0175AE53
creatureAvatarMaxMouseRadius	0x0175AE5D
creatureSpeedMediumLODMultiplier	0x017DC905
kAboveDetailHighTiling	0x017EDA5F
kAboveDetailLowTiling	0x017EDA6B
halfWidth	0x017EE0D3
halfHeight	0x017EE154
lookDirection	0x017EE15A
lookDistance	0x017EE160
nearClip	0x017EE163
farClip	0x017EE169
flipUpVector	0x017F2798
PlanBuildBuilding	0x01803694
PlanWorkerTask	0x01803C91
BuildingTypeHouse	0x01803C98
BuildingTypeFarm	0x01803C9D
TaskSellBundle	0x01803DC6
TaskRecruitTribe	0x01803DCB
TaskAttackTribe	0x01803DCF
TaskRaidTribe	0x01803DD3
TaskWorkAtFarm	0x01803DD8
ContextCivilization	0x018071E8
ContextCity	0x018071ED
ContextTribe	0x018071F4
BuildingTypeFactory	0x01808550
BuildingTypeMarket	0x01808557
BuildingTypeMilitary	0x0180855D
BuildingTypeTemple	0x01808566
BuildingTypeTurret	0x0180856A
orthoProjection	0x01819C7A
modelRigBlockType	0x0186609D
BuildingTypeCityHall	0x0186C5DF
PlanBuildVehicle	0x0186FA82
VehicleTypeMilitary	0x0186FAB4
VehicleTypeMissionary	0x0186FAC1
VehicleTypeTrade	0x0186FAD4
VehicleLand	0x0186FAFD
VehicleAmphibious	0x0186FB03
VehicleAir	0x0186FB08
ContextForeignCity	0x01886648
PlanVehicleTask	0x018AB9F9
TaskEstablishMission	0x018ABA10
TaskCultureConvoy	0x018ABA22
TaskAttackCity	0x018C2955
TaskTradeWithCity	0x018C2973
TaskBuyBundle	0x018C298F
TaskWorkAtFactory	0x018C299F
AiHawk	0x01905E20
AiDove	0x01905E2F
AiPreacher	0x01905E41
CommunityMax_Tribe1	0x01905E43
CommunityMax_Tribe2	0x01905E44
CommunityMax_Tribe3	0x01905E45
CommunityMax_City1	0x01905E46
CommunityMax_City2	0x01905E47
CommunityMax_Civ1	0x01905E48
CommunityMax_Civ2	0x01905E49
MilitaryLandCost	0x01944FEA
MilitaryAmphCost	0x01944FEE
MilitaryAirCost	0x01944FF1
CulturalLandCost	0x01944FF6
CulturalAmphCost	0x01944FFA
CulturalAirCost	0x01944FFD
DiplomaticLandCost	0x01945002
DiplomaticAmphCost	0x01945006
DiplomaticAirCost	0x01945008
galaxyMaxRadius	0x0195A000
galaxyMinRadius	0x0195A001
galaxyMouseClicks	0x0195A002
solarMaxRadius	0x0195A020
solarMinRadius	0x0195A021
allianceTiltMinAngle	0x0195A040
allianceTiltMaxAngle	0x0195A041
allianceTiltMaxAlpha	0x0195A042
spaceFOV	0x0195A050
spaceNearClip	0x0195A051
spaceFarClip	0x0195A052
planetCameraDistanceFOV	0x0195A060
horizonAngle	0x0195A061
planetCameraRotationSpeed	0x0195A064
planetCameraMouseRotationSpeed	0x0195A065
debugDrawSpaceRelations	0x0195B000
spaceEconomyDebugDrawEconomy	0x0195C000
spaceEconomyTravelCost	0x0195C001
spaceEconomyTravelDamage	0x0195C002
spaceEconomyStartingMoney	0x0195C003
spaceEconomyBuildingIncome	0x0195C004
ufoMinAltitude	0x0195D000
ufoMaxAltitude	0x0195D002
ufoVelocityFactor	0x0195D010
ufoAccelerationFactor	0x0195D011
ufoKeyboardMovementSpeedZoomedOut	0x0195D012
ufoKeyboardMovementSpeedZoomedIn	0x0195D013
ufoMouseMovementSpeedZoomedOut	0x0195D014
ufoMouseMovementSpeedZoomedIn	0x0195D015
ufoWidthFactor	0x0195D030
ufoHeightFactor	0x0195D031
ufoDistFactor	0x0195D032
ufoHeightOffset	0x0195D033
ufoSmoothingFactor	0x0195D034
ufoTiltFactor	0x0195D035
ufoCameraAngleSpeed	0x0195D036
ufoDamageToDestScale	0x0195D037
ufoDamageToVelocityScale	0x0195D038
ufoVerticalAccelerationUp	0x0195D039
ufoVerticalAccelerationDown	0x0195D03A
ufoCollisionRestitution	0x0195D03B
ufoTrailEffectAlwaysOn	0x0195D03C
ufoTrailEffectMinSize	0x0195D03D
ufoTrailEffectMaxSpeedPlanet	0x0195D03E
ufoTrailEffectMaxSpeedSolar	0x0195D03F
ufoTrailEffectMaxSpeedGalaxy	0x0195D040
galacticRevolutionMinDistance	0x0195E020
galacticRevolutionMaxDistance	0x0195E021
galacticRevolutionRateMin	0x0195E022
galacticRevolutionRateMax	0x0195E023
planetStartingOrientation	0x0195E030
grobEmpireSize	0x0195E031
grobStarsSpreadRadius	0x0195E032
grobColor	0x0195E033
grobOnlyRadius	0x0195E034
grobSpecies	0x0195E035
galaxyOpacityGraph	0x0195F000
planetScaleGraph	0x0195F001
planetScaleFromPlanet	0x0195F002
moonScaleGraph	0x0195F003
moonScaleFromPlanet	0x0195F004
starScaleGraph	0x0195F005
starScaleFromPlanet	0x0195F006
gasGiantScaleGraph	0x0195F007
gasGiantScaleFromPlanet	0x0195F008
orbitEccentricity	0x01960000
orbitPlanarDeviation	0x01960001
rotationAxisDevation	0x01960010
rotationPeriod	0x01960011
averageMoonOrbitPeriodGasGiant	0x01960020
averagePlanetaryOrbitPeriod	0x01960021
TribeMode	0x019952F4
CityMode	0x019952F5
SpaceMode	0x019952F6
CivMode	0x019952F8
editorRolloverGlowColor	0x01995C3D
editorSelectedGlowColor	0x01995C43
TaskGiftTribe	0x019AB26A
TaskGiftCity	0x019AB28D
cameraEnableTreeAvoidance	0x019BDD9C
CreatureHealth	0x019C2AA6
VehicleHealth	0x019C2AA7
BuildingHealth	0x019C2AA8
cameraEnableTreeHiding	0x019D778A
creatureAvatarKeyboardControl	0x01A28C84
kMungeAlphaNoiseStrength	0x01A2B977
cameraMaxAcceleration	0x01A57B85
cameraApproachTime	0x01A57B91
cameraVelocityDecayTime	0x01A57B9B
gameModelIntersectionRadius	0x01A57F38
MarketBundleSellPriceCity	0x01A7F10C
MarketBuyFoodCost	0x01A81BA1
EntertainmentDelta	0x01A821C5
EntertainmentCost	0x01A821C9
EntertainmentCostSpace	0x01A821CA
EntertainmentCapacity	0x01A821CD
RoomsPerEntertainment	0x01A821D1
EntertainmentMinStay	0x01A821D4
EntertainmentMaxStay	0x01A821D9
PosseItemInitScaleFrequency	0x01AAEDA6
InitialWealth	0x01ABC7EA
InitialCreatures	0x01ABC7EC
InitialTribeCreatures	0x01ABC7ED
InitialTribes	0x01ABC7EE
CityHallMoney	0x01ABC7F0
CityHallMoneyTime	0x01ABC7F1
HappinessTotalCalculationTime	0x01ABC7F5
HappinessUnitCalculationTime	0x01ABC7F6
HappinessBarRange	0x01ABC7F7
MaxCityUpgradeLevel	0x01ABC7F8
EventLogTimeoutInMS_Red	0x01ABC7F9
EventLogTimeoutInMS_Blue	0x01ABC7FA
EventLogTimeoutInMS_Yellow	0x01ABC7FB
HappyIdleThresholdCity	0x01ABC7FC
ProductivityThresholdCity	0x01ABC7FD
EntertainmentThresholdCity	0x01ABC7FE
ProtestDuration	0x01ABC7FF
LurkDuration	0x01ABC800
LurkDetectRadius	0x01ABC801
WanderDuration	0x01ABC802
MaxDistanceForInteractWithTribes	0x01ABC803
PartySupplyTime	0x01ABC804
SmallPartyAttractedChance	0x01ABC805
SmallPartyAttractionRadius	0x01ABC806
SmallPartyCost	0x01ABC809
SmallPartyCapacity	0x01ABC80D
SmallPartySupplies	0x01ABC80E
PartyBonusHappiness	0x01ABC80F
PartyBonusDuration	0x01ABC810
MinDistanceBetweenCities	0x01ABC816
MinDistanceBetweenTribes	0x01ABC817
AngleForProtestGroup	0x01ABC818
AngleForSleepingGroup	0x01ABC819
AngleForIdleGroup	0x01ABC81A
AngleForHappyIdleGroup	0x01ABC81B
IdleAtCityHallMinDistance	0x01ABC81C
IdleAtCityHallMaxDistance	0x01ABC81D
RadiusFromCityHall	0x01ABC81E
RoadCost	0x01ABC824
RoadRefundFraction	0x01ABC825
RoadSpeedMultiplier	0x01ABC826
EstablishTempleSingTime	0x01ABC82A
CounterConversionInterval	0x01ABC82B
WallBuildingBuffer	0x01ABC82E
RaidRelationshipEffect	0x01ABC82F
TradeRelationshipEffect	0x01ABC830
RecruitingRelationshipEffect	0x01ABC831
GiftRelationshipEffect	0x01ABC832
VehicleGiftRelationshipEffect	0x01ABC833
VehicleTradeRelationshipEffect	0x01ABC834
VehicleGiftCost	0x01ABC835
FailedMissionRelationshipEffect	0x01ABC836
CivAttackRelationshipEffect	0x01ABC837
TimeBetweenAttacksForRelationshipPenalty	0x01ABC838
CityUpgrade1	0x01ABD3F2
CityUpgrade2	0x01ABD3F3
MarketMaxNPCsPerWorker	0x01ABD40F
HappyIdleThresholdCiv	0x01AC13B9
ProductivityThresholdCiv	0x01AC13BA
EntertainmentThresholdCiv	0x01AC13BB
MinNumWallSegments	0x01AC582B
DistBetweenWallPosts	0x01AC5A97
creatureAvatarDamageMultiplier	0x01AD0639
creatureAvatarSpeedMultiplier	0x01AD0705
civCityRolloverPopulationPerIcon	0x01B53F12
creatureAbilityName	0x01B7C544
creatureAbilityReqAnyParts	0x01B7DD74
DiplomacyCost	0x01B7E1A2
DiplomacyMinimumStay	0x01B7E1AC
DiplomacyMaximumStay	0x01B7E1B4
DiplomacyCapacity	0x01B7E7EF
creatureAbilityDamage	0x01B8346A
creatureAbilityRefresh	0x01B8346E
creatureAbilityRange	0x01B83470
TaskUseEntertainment	0x01B846E2
TaskSellFoodMarket	0x01B846E3
TaskBuyFoodmarket	0x01B846E4
TaskWorkMarket	0x01B846E5
BuildingTypeEntertainment	0x01B847B6
BuildingTypeDiplomatic	0x01B847BB
creatureAbilityReqAllParts	0x01B930A8
CivAttackTradePartnerRelationshipEffect	0x01B9777B
criticalhealthlevel	0x01BA3D45
tribePopulationStart	0x01BA3D4F
costFoodStorage1	0x01BA3D54
costFoodStorage2	0x01BA3D55
costFoodStorage3	0x01BA3D56
IndustryMoneyDeltaCiv	0x01BA40E0
MarketBundleSellPriceCiv	0x01BA4AEE
DefenseCost	0x01BA5251
DefenseCostSpace	0x01BA5252
creatureAbilityType	0x01BA8C38
cursorMgrAttachmentOffsetX	0x01BAE779
cursorMgrAttachmentOffsetY	0x01BAE783
crtAttackChargedColor	0x01BAE8BD
crtAttackChargingColor	0x01BAE8BE
crtAttackUnchargedColor	0x01BAE8BF
crtAttackSeparatorColor	0x01BAE8C0
crtAttackSelectionColor	0x01BAE8C1
crtAttackDialPosAnimTime	0x01BAE8C2
crtAttackDialBlinkTime	0x01BAE8C3
crtAttackDialHighlightTime	0x01BAE8C4
crtAttackDialHaloColorNormal	0x01BAE8C5
crtAttackDialHaloColorActive	0x01BAE8C6
crtAttackDialDefaultIcon	0x01BAE8C7
listeneroffset	0x01BE3105
editorRolloverSelectedGlowColor	0x01BE464B
TaskEstablishTradeRoute	0x01C1067A
creatureUntargetDistance	0x01C2301B
creatureAbilityEnergyCost	0x01C291D8
CityHallZoomOutScale	0x01C38187
VehicleZoomOutScale	0x01C3818D
kAboveColorRampSeaScaleBaseVal	0x01C387E7
kAboveColorRampSeaScaleScaleVal	0x01C387F2
creatureAbilityIcon	0x01C6A8F5
creatureAbilityDuration	0x01C6C623
cameraEnableMiddleMouseLook	0x01C71AAD
CityMapZoomLevel	0x01C7B96B
PlumpDistance	0x01CA5C7A
BuildingType1ZoomOutScale	0x01CA5E86
BuildingType2ZoomOutScale	0x01CA5E8E
crtAttackHaloHighColor	0x01CB785C
crtAttackHaloLowColor	0x01CB785D
crtAttackHaloBlinkColor	0x01CB785E
MarketMoneyDeltaCity	0x01CB9D08
MarketMoneyDeltaCiv	0x01CB9D1A
MarketMoneyTime	0x01CB9D21
spineNewVertebraRelativeScale	0x01CBB8A7
editorShadowLight	0x01D0C155
zoomVal	0x01D0C413
FarmFoodDeltaCiv	0x01D34EC9
RolloverRltnshpVBadCap	0x01D379FA
RolloverRltnshpNeutralCap	0x01D37A06
RolloverRltnshpGoodCap	0x01D37A0C
RolloverVUnhappyCap	0x01D37A15
RolloverUnhappyCap	0x01D37A1A
RolloverNeutralHappyCap	0x01D37A1F
RolloverHappyCap	0x01D37A23
RolloverRltnshpBadCap	0x01D37BE0
impostorResolution	0x01E623E1
creatureAbilityCategory	0x01EF3BE2
tribeSpeed1	0x01FB1887
tribeSpeed2	0x01FB1888
tribeSpeed3	0x01FB1889
tribeSpeed4	0x01FB188A
citySpeed1	0x01FB2B46
citySpeed2	0x01FB2B47
citySpeed3	0x01FB2B48
citySpeed4	0x01FB2B49
civSpeed1	0x01FB2B4A
civSpeed2	0x01FB2B4B
civSpeed3	0x01FB2B4C
civSpeed4	0x01FB2B4D
tribeGridScale	0x01FB2B4E
modelRemainUpright	0x0201636B
missionAccidentProneRewardTool	0x0209F3E3
HappinessForFood	0x020C2988
HappinessForHousing	0x020C2989
HappinessForStructure	0x020C298A
HappinessForLifestyle	0x020C298B
MaxProtestorFraction	0x020C298C
PopulationFedPerFarmWorker	0x020C298D
PopulationHappyPerEntertainmentBuilding	0x020C298E
MoneyPerIndustryWorkerPerSecond	0x020C298F
MoneyPerMarketWorkerPerSecond	0x020C2990
kMinMaxAlt	0x021126C2
kMidMaxAlt	0x021126CE
kMaxMaxAlt	0x021126E3
modelSnapToParentCenter	0x0213A120
creatureAbilityEffectType	0x021545DA
creatureAbilityEffectDuration	0x02154C2A
modelPrice	0x02166464
paletteItemHeight	0x021953E9
paletteItemWidth	0x021953EA
paletteItemType	0x02196AD5
editorBackgroundModel	0x021B35A0
creatureAbilityEffectKind	0x021D798C
spaceToolToggleLayoutKey	0x0220F9C2
palettePaletteThumbnailGroupID	0x02233661
modelPaletteRotation	0x0224FEA2
paintMaterialSpecExponent	0x0226C551
paramOffsets	0x02280ABF
paramNames	0x02280AC8
kMinCliffGradient	0x0228D235
kMaxCliffGradient	0x0228D23F
modelCapabilityLiquid	0x02294DE1
timeOfDayMultiplier	0x022CFEA6
modelCapabilityNightVision	0x022E7777
modelCapabilityCarnivorous	0x022E7847
modelCapabilityHerbivorous	0x022E785C
modelCapabilityDayVision	0x022E7977
modelBlockAssemblyFile	0x022E8410
kUseWaterRefraction	0x02321686
kWaterRefractionStaticTexture	0x023227B9
kSynthesizeAboveTexture	0x023227BA
kSynthesizeAboveTextureRes	0x023227BC
kWaterPCAAnimationFPS	0x023227BD
paintMaterialInvBumpiness	0x02327A87
kWaterRefractionMapSize	0x0235F87F
kHeightmapTextureIsFloat	0x023F27B9
modelUseDummyBlocks	0x023FA66C
spaceToolWeaponSubType	0x023FBB0E
toolProjectileType	0x023FBE00
toolProjectileSpeed	0x023FBE01
tuningDistanceFromOriginalPosition	0x0241149F
tuningChangeInPreviousLimb	0x0241204B
tuningChangeInNextLimb	0x02412051
tuningDistanceFromCameraPlane	0x0242175B
tuningChangeInDistanceFromParallelPlane	0x02421763
tuningArmAngle	0x02421767
tuningBoneLength	0x0242176C
tuningChangeInDistanceFromSymmetryPlane	0x02421776
tuningPlaneOfSymmetryAlignment	0x0242177B
tuningArmAngleChange	0x0242359A
tuningCameraAngle	0x0242359E
tuningInvalidLength	0x024235A4
tuningUpperLimbLength	0x02423FDA
tuningLowerLimbLength	0x02423FE1
skinpaintDiffuseTexture	0x02424655
skinpaintSpecBumpTexture	0x02424656
skinpaintTintMaskTexture	0x02424657
modelIsNullBlock	0x02437197
cameraPitchScale	0x02438A8B
colonyTerritoryRadius	0x0243C000
colonyTerritorySamplePoints	0x0243C001
colonyTerritoryHeightOffset	0x0243C002
AaShotsPerTurret	0x0244EA3D
planetAtmosphere	0x02478ED7
planetBounceDiff	0x02478EDA
planetBounceSpec	0x02478EDB
planetSunBoost	0x02478EDC
planetTransitionBoost	0x02478EDD
planetNightBoost	0x02478EDE
planetDayStart	0x02478EDF
planetDayRange	0x02478EE0
planetNightStart	0x02478EE1
planetNightRange	0x02478EE2
planetSaturation	0x02478EE3
planetFogStrength	0x02478EE4
UILocalizedResourceGroups_TypeID_CSS	0x0248F226
babyJointSize	0x0249F0D1
SdrBeamLifetime	0x024A0740
creatureGoalDistanceLimit	0x024CA4C9
creatureAvatarDeathEffectScaleMultiplier	0x025476FC
obstacleBaseCollisionRadius	0x0254CF89
obstacleCanopyCollisionRadius	0x0254CF8F
obstacleCollisionHeight	0x0254CF97
obstacleSpeciesType	0x0254CF9E
tuningSnapToCardinalOrientations	0x0255D634
kParticleMaxDistance	0x0257035A
kSkyScaleDist	0x0257036B
kSkyBrightness	0x02570373
kTerrainScaleDist	0x0257037C
kTerrainBrightness	0x02570386
kP1ScaleDensity	0x02570391
kP2ScaleDensity	0x0257039B
kP3ScaleDensity	0x025703A4
kP1Phase	0x025703AD
kP1Brightness	0x025703B9
kP2Phase	0x025703C1
kP2Brightness	0x025703CC
kP3Phase	0x025703D6
kP3Brightness	0x025703E1
obstacleModelData	0x025B688B
modelCapabilityDetail	0x025C6878
babyDetailSize	0x025C88BC
babyDetailHandles	0x025C8A16
faunaChanceSpread	0x025CB344
paintMaterialCol1BlendFactor	0x025E49BB
creatureTreesEnabled	0x025F0761
creatureAvatarWASDTurningSpeed	0x02648458
paintMaterialCol2BlendFactor	0x0265FB07
creatureStepEffectMinSpeed	0x0269988A
HorizonCullFactor	0x026B7D69
AmbOccAOMul	0x026CABBF
AmbOccAOBias	0x026DC91E
starNames	0x026EFC89
planetNames	0x026EFC90
blackHoleNames	0x026EFC92
editorTestEnvironmentModel	0x026F3355
editorSkyBoxEffect	0x026F337B
creatureSetupEmergeFromWaterMoment	0x0270A758
creatureAvatarGoalStopDistance	0x0275B79A
creatureAvatarAcceptableStopDist	0x0275B79F
modelSoundScale	0x02784061
modelSoundMorphX	0x0278408A
modelSoundMorphY	0x027840AF
modelSoundMorphZ	0x027840B3
cameraAnchorInterpDistMultiplier	0x02797FFF
obstacleAlphaModelID	0x0279A9C8
obstacleOcclusionMinAlpha	0x027B6C6E
obstacleOcclusionAlphaConvergenceSpeed	0x027B6D2A
obstacleOcclusionRadiusBlendFactor	0x027B6D44
modelSoundRotation	0x027C3D61
UILocalizedResourceGroups_TypeID_TTF	0x027C5CEF
AmbOccBlurAmount	0x027C7387
kNightLightingMax	0x027EC600
shadowCameraRange	0x027F36B9
shadowScaleCurve	0x027F36BA
shadowStrengthCurve	0x027F36BB
toolBeamPassThrough	0x0281899E
BuildingPadBorderSize	0x0282CE9C
CityWallSinkDepth	0x02858EA9
spaceCombatAirRaidSirenTime	0x0289453D
spaceToolRaiseWaterDelta	0x028BF456
grobInitialRelationship	0x0295C001
empireSizeRatioMinCap	0x0295C002
empireSizeRatioMaxCap	0x0295C003
animID	0x029EB123
modelEffect	0x02A907B5
modelEffectTransforms	0x02A907B6
modelEffectSeed	0x02A907B7
modelEffectRange	0x02A907B8
modelEffectWorld	0x02A907B9
universeSimulatorNewEventFrequency	0x02AA514A
universeSimulatorMaxEventCount	0x02AA5151
universeSimulatorChanceOfNoEvent	0x02AA515B
universeSimulatorChanceOfRaidEvent	0x02AA5160
tribeGotoWaitTime	0x02AE25AB
CivicObjectCost	0x02AF772F
HappinessForCivicObject	0x02AFADDF
PopulationHappyPerCivicObject	0x02AFB20C
SecondsHappyAfterParty	0x02AFB212
spaceToolAmmoUsedPerShot	0x02AFC090
CityHappinessForFood	0x02B0C627
CityHappinessForHousing	0x02B0C62E
CityHappinessForStructure	0x02B0C633
CityHappinessForLifestyle	0x02B0C639
CityHappinessForCivicObject	0x02B0C63E
CityHappinessForParty	0x02B0C642
spaceToolMaxAmmoCount	0x02B24D49
BuildingTypeCivicObject	0x02B7AB6C
spaceTerraformSimpleFloraDecayRate	0x02B8CDA4
spaceTerraformSimpleFloraGrowthRate	0x02B8CDA5
spaceTerraformFloraChanceSpread	0x02B8FC0B
spaceTerraformAnimalChanceSpread	0x02B8FC48
CitySpecialtyProduction	0x02B909C7
CitySpecialtyDefense	0x02B909C8
CitySpecialtyHappiness	0x02B909C9
missionRaidBuildingsDestroyed	0x02B9E519
missionRaidBuildingsSavedPerTurret	0x02B9E51F
missionRaidDuration	0x02B9E524
spaceUItravelTrailLength	0x02BA603E
eventDescription	0x02BB8697
eventStartFadeTime	0x02BB870E
eventIsShown	0x02C08DC2
spaceUnlockableTools	0x02C08E1E
TaskBuyCity	0x02C0EC43
InterCityRoadInitialWidth	0x02C1E020
SizeTribe1	0x02C36526
SizeTribe2	0x02C36527
SizeTribe3	0x02C36528
SizeCity1	0x02C36529
SizeCity2	0x02C3652A
SizeCiv1	0x02C3652B
SizeCiv2	0x02C3652C
SizeCiv3	0x02C3652D
weightTerrestrial1	0x02C378C2
weightGasGiant	0x02C378FC
weightAsteroidBelt	0x02C37907
colonyMaxSpiceStoredPerColony	0x02C60A0E
creatureEvoPointsToLevel_2	0x02C73027
creatureEvoPointsToLevel_3	0x02C73028
creatureEvoPointsToLevel_4	0x02C73029
badgeToolReward	0x02CB2281
badgeUnlockString	0x02CB2284
badgeLockedImageID	0x02CB2286
badgeUnlockedImageID	0x02CB228A
VehicleCapPerCity	0x02CB589B
badgeRequirementList	0x02CC641B
creatureAbilityJumping	0x02CC9739
creatureAbilityGliding	0x02CC974A
creatureAbilityFlapping	0x02CCCF5C
numPlanetsMin	0x02CDD894
numPlanetsMax	0x02CDD8D3
empireSizeWeights	0x02CDD8D4
hairPrintThickness	0x02DF5282
universeSimulatorArtifactFrequency	0x02E057F0
universeSimulatorArtifactMinTime	0x02E0583D
universeSimulatorMaxArtifactsPerPlanet	0x02E05842
spaceToolMinDiscoveredAmmo	0x02E06E31
spaceToolMaxDiscoveredAmmo	0x02E06E36
spaceDiscoverableTools	0x02E06ECE
hairPrintModeOn	0x02E0712E
modelLODDistances	0x02E33A81
artifactPlumpDistance	0x02E5710A
artifactPlumpSize	0x02E57110
wallStyleListNames	0x02E5B3F0
wallStyleListLevel1	0x02E5B3F1
wallStyleListLevel2	0x02E5B3F2
wallStyleListLevel3	0x02E5B3F3
wallStyleListIcons	0x02E5B3F4
debug_numflags	0x02E6FABC
debug_flags	0x02E6FAC7
debug_dimensions	0x02E6FBE5
modelLODFactor0	0x02E765CF
modelLODFactor1	0x02E765D0
modelLODFactor2	0x02E765D1
modelLODFactor3	0x02E765D2
nounDefinition_ClassID	0x02E9C0CB
